Language,Algorithm,Construct,Line
qiskit,05-vqsvd,for,"for t in range(1, self.iterations + 1):"
qiskit,05-vqsvd,if,if t % 10 == 0 or t == 1 or t == self.iterations:
qiskit,05-vqsvd,or,if t % 10 == 0 or t == 1 or t == self.iterations:
qiskit,05-vqsvd,list,"svals_list: list,"
qiskit,05-vqsvd,for,"for i in range(1, rank + 1):"
qiskit,05-vqsvd,and,Initializes the plotting utility and creates the output directory.
qiskit,05-vqsvd,list,"def plot_loss_curve(self, losses: list):"
qiskit,05-vqsvd,and,Plots the loss curve over iterations and saves it.
qiskit,05-vqsvd,list,"def plot_singular_value_comparison(self, rank: int, vqsvd: list, svd: list):"
qiskit,05-vqsvd,for,Compares singular value reconstruction errors for VQSVD and classical SVD.
qiskit,05-vqsvd,and,Compares singular value reconstruction errors for VQSVD and classical SVD.
qiskit,05-vqsvd,list,"x = list(range(1, rank + 1))"
qiskit,05-vqsvd,and,Displays and saves the matrix as a grayscale image.
qiskit,05-vqsvd,with,Initializes the generator with a specified number of qubits.
qiskit,05-vqsvd,and,"Loads a grayscale image of size 2^n × 2^n and normalizes its pixel values to [0, 1]."
qiskit,05-vqsvd,if,"if __name__ == ""__main__"":"
qiskit,05-vqsvd,while,"print(""Starting training… (this may take a while)"")"
qrisp,01-deutsch-jotza,for,for i in range(len(input_qubits)):
qrisp,02-bernstein-vazirani,with,with qrisp.conjugate(qrisp.h)(qv):
qrisp,02-bernstein-vazirani,for,for i in range(len(s)):
qrisp,02-bernstein-vazirani,if,"if s[i] == ""1"":"
qrisp,03-simon,for,for i in range(len(s)):
qrisp,03-simon,if,"if s[i] == ""1"":"
qrisp,03-simon,with,with qrisp.conjugate(qrisp.h)(qv[:n]):
qmod,01-deutsch-jotza,within,within {
qmod,01-deutsch-jotza,apply,} apply {
qmod,01-deutsch-jotza,lambda,"my_oracle(lambda(x, y) {"
qmod,01-deutsch-jotza,lambda,"deutsch_jozsa(lambda(x, y) {"
qmod,02-bernstein-vazirani,repeat,repeat (i: x.len) {
qmod,02-bernstein-vazirani,if,if ((floor(a / (2 ** i)) % 2) == 1) {
qmod,02-bernstein-vazirani,within,within {
qmod,02-bernstein-vazirani,apply,} apply {
qmod,03-simon,lambda,"simon_qfunc(lambda(x, res) {"
qmod,04-grover,lambda,"grover_search(1, lambda(vars) {"
q#,01-deutsch-jotza,for,for i in 0..n-1 {
q#,01-deutsch-jotza,ApplyToEachA,"ApplyToEachA(H, qubits);"
q#,01-deutsch-jotza,ApplyToEachA,"ApplyToEachA(H, qubits[0..n-1]);"
q#,01-deutsch-jotza,MeasureEachZ,let results = MeasureEachZ(qubits[0..n-1]);
q#,02-bernstein-vazirani,ApplyToEachA,"ApplyToEachA(H, qubits[0..n - 1]);"
q#,02-bernstein-vazirani,for,for i in 0..n - 1 {
q#,02-bernstein-vazirani,if,if (s[n - 1 - i]) {
q#,02-bernstein-vazirani,ApplyToEachA,"ApplyToEachA(H, qubits[0..n - 1]);"
q#,02-bernstein-vazirani,MeasureEachZ,let results = MeasureEachZ(qubits[0..n-1]);
q#,03-simon,for,for i in 0..n - 1 {
q#,03-simon,if,if (s[n - 1 - i]) {
q#,03-simon,ApplyToEachA,"ApplyToEachA(H, qubits[0..n - 1]);"
q#,03-simon,ApplyToEachA,"ApplyToEachA(H, qubits[0..n - 1]);"
q#,03-simon,MeasureEachZ,let results = MeasureEachZ(qubits[0..n - 1]);
q#,04-grover,for,for i in 0..n - 1 {
q#,04-grover,if,if (not markedState[n - 1 - i]) {
q#,04-grover,for,for i in 0..n - 1 {
q#,04-grover,if,if (not markedState[n - 1 - i]) {
q#,04-grover,ApplyToEachA,"ApplyToEachA(H, qubits);"
q#,04-grover,ApplyToEachA,"ApplyToEachA(X, qubits);"
q#,04-grover,ApplyToEachA,"ApplyToEachA(X, qubits);"
q#,04-grover,ApplyToEachA,"ApplyToEachA(H, qubits);"
q#,04-grover,ApplyToEachA,"ApplyToEachA(H, qubits);"
q#,04-grover,for,for _ in 1..iterations {
q#,04-grover,MeasureEachZ,let results = MeasureEachZ(qubits[0..n - 1]);
pennylane,05-vqsvd,qml.device,"dev = qml.device(""lightning.qubit"", wires=num_qubits)"
pennylane,05-vqsvd,qml.qnode,@qml.qnode(dev)
paddle,05-vqsvd,list,"loss is a list, this function plots loss over iteration"
paddle,05-vqsvd,list,"plt.plot(list(range(1, len(loss)+1)), loss)"
paddle,05-vqsvd,for,for _ in range(depth):
paddle,05-vqsvd,for,for i in range(self.rank):
paddle,05-vqsvd,for,for itr in range(self.itr):
paddle,05-vqsvd,if,if itr% 10 == 0:
paddle,05-vqsvd,for,for i in range(RANK):
paddle,05-vqsvd,list,"ax.plot(list(range(1, RANK+1)), err_subfull, ""o-."","
paddle,05-vqsvd,list,"ax.plot(list(range(1, RANK+1)), err_SVD, ""^--"","
paddle,05-vqsvd,list,"imgmat = np.array(list(img.getdata(band=0)), float)"
paddle,05-vqsvd,for,"for i in range(5, 16, 5):"
paddle,05-vqsvd,list,"imgmat = np.array(list(img.getdata(band=0)), float)"
paddle,05-vqsvd,for,for _ in range(depth):
